Date,NASDAQ Close,return
2000-03-21,4711.68,0.0
2000-03-22,4864.75,0.032487350584080366
2000-03-23,4940.61,0.01559381263168702
2000-03-24,4963.03,0.004537901190338811
2000-03-27,4958.56,-0.0009006594761666875
2000-03-28,4833.89,-0.025142380045819812
2000-03-29,4644.67,-0.0391444571556242
2000-03-30,4457.89,-0.040213836505069156
2000-03-31,4572.83,0.02578349847124972
2000-04-03,4223.68,-0.07635315548577126
2000-04-04,4148.89,-0.01770730737177062
2000-04-05,4169.22,0.0049001058114339635
2000-04-06,4267.56,0.023587145797055564
2000-04-07,4446.45,0.041918567050023725
2000-04-10,4188.2,-0.05808004138132672
2000-04-11,4055.9,-0.031588749343393285
2000-04-12,3769.63,-0.07058112872605338
2000-04-13,3676.78,-0.024631064587240625
2000-04-14,3321.29,-0.09668514297836694
2000-04-17,3539.16,0.0655980055942118
2000-04-18,3793.57,0.07188428892731613
2000-04-19,3706.41,-0.022975719441054254
2000-04-20,3643.88,-0.01687077252651481
2000-04-24,3482.48,-0.04429344544825853
2000-04-25,3711.23,0.0656859479451426
2000-04-26,3630.09,-0.021863371442890855
2000-04-27,3774.03,0.039651909456790424
2000-04-28,3860.66,0.02295424254709144
2000-05-01,3958.08,0.02523402734247515
2000-05-02,3785.45,-0.043614580806855874
2000-05-03,3707.31,-0.020642195775931516
2000-05-04,3720.24,0.00348770402259313
2000-05-05,3816.82,0.025960690708126455
2000-05-08,3669.38,-0.03862901577753208
2000-05-09,3585.01,-0.022992985190958715
2000-05-10,3384.73,-0.055865952954106124
2000-05-11,3499.58,0.03393180549113217
2000-05-12,3529.06,0.008423868007017887
2000-05-15,3607.65,0.022269386182156126
2000-05-16,3717.57,0.030468587584715934
2000-05-17,3644.96,-0.019531575733610973
2000-05-18,3538.71,-0.029149839778762954
2000-05-19,3390.4,-0.04191075278844547
2000-05-22,3364.21,-0.007724752241623389
2000-05-23,3164.55,-0.059348257094533285
2000-05-24,3270.61,0.033515033733074295
2000-05-25,3205.35,-0.019953464338456794
2000-05-26,3205.11,-7.487481866252921e-05
2000-05-30,3459.48,0.07936389078689965
2000-05-31,3400.91,-0.016930290101402568
2000-06-01,3582.5,0.053394532639793546
2000-06-02,3813.38,0.06444661549197495
2000-06-05,3821.76,0.0021975255547572736
2000-06-06,3756.37,-0.01710991794356531
2000-06-07,3839.26,0.02206651634423662
2000-06-08,3825.56,-0.0035683959929778686
2000-06-09,3874.84,0.012881774171624505
2000-06-12,3767.91,-0.027595978156517487
2000-06-13,3851.06,0.022067936866857263
2000-06-14,3797.41,-0.013931229323874472
2000-06-15,3845.74,0.012727095573035196
2000-06-16,3860.56,0.003853614648936299
2000-06-19,3989.83,0.03348477941024108
2000-06-20,4013.36,0.0058974943794598556
2000-06-21,4064.01,0.01262034803755463
2000-06-22,3936.84,-0.03129175371123594
2000-06-23,3845.34,-0.02324199103849789
2000-06-26,3912.12,0.017366474746056237
2000-06-27,3858.96,-0.013588540228827273
2000-06-28,3940.34,0.021088583452536502
2000-06-29,3877.23,-0.016016384372922188
2000-06-30,3966.11,0.022923582041818547
2000-07-03,3991.93,0.006510157307790143
2000-07-05,3863.1,-0.032272609990656176
2000-07-06,3960.57,0.025231032072687842
2000-07-07,4023.2,0.015813380397265986
2000-07-10,3980.29,-0.010665639292105733
2000-07-11,3956.42,-0.005997050466172049
2000-07-12,4099.59,0.036186754692373535
2000-07-13,4174.86,0.01836037262262802
2000-07-14,4246.18,0.017083207580613546
2000-07-17,4274.67,0.006709560122274638
2000-07-18,4177.17,-0.022808778221476755
2000-07-19,4055.63,-0.029096254162507162
2000-07-20,4184.56,0.03179037535475393
2000-07-21,4094.45,-0.02153392471370963
2000-07-24,3981.57,-0.027569026364957394
2000-07-25,4029.57,0.012055545927862621
2000-07-26,3987.72,-0.01038572353874001
2000-07-27,3842.23,-0.036484507437834046
2000-07-28,3663.0,-0.046647389666938266
2000-07-31,3766.99,0.02838929838929838
2000-08-01,3685.52,-0.021627347033042255
2000-08-02,3658.46,-0.007342247498317689
2000-08-03,3759.88,0.027722046981516923
2000-08-04,3787.36,0.007308743896081715
2000-08-07,3862.99,0.019969054961767485
2000-08-08,3848.55,-0.00373803711632692
2000-08-09,3853.5,0.0012861986982108942
2000-08-10,3759.99,-0.02426625145971195
2000-08-11,3789.47,0.007840446384165922
2000-08-14,3849.69,0.015891404338865378
2000-08-15,3851.66,0.0005117295158829638
2000-08-16,3861.2,0.0024768541356194884
2000-08-17,3940.87,0.02063348181912361
2000-08-18,3930.34,-0.0026719988225949454
2000-08-21,3953.15,0.00580356915686675
2000-08-22,3958.21,0.0012799919051895703
2000-08-23,4011.01,0.013339362994889248
2000-08-24,4053.28,0.010538492798571886
2000-08-25,4042.68,-0.0026151659890262247
2000-08-28,4070.59,0.006903836069142244
2000-08-29,4082.17,0.0028447964545679216
2000-08-30,4103.81,0.0053011021099074185
